,t1,t2,t3,t4
0,1708610389.397307,1708610388.138618,1708610388.146525,1708610390.168352
0,1708610390.292497,1708610389.027353,1708610389.040204,1708610390.378643
0,1708610390.621387,1708610389.358172,1708610389.365879,1708610390.721929
0,1708610390.863233,1708610389.795781,1708610389.806854,1708610391.142067
0,1708610391.269463,1708610390.00304,1708610390.01866,1708610392.015923
0,1708610392.151384,1708610391.084905,1708610391.102206,1708610392.628512
0,1708610392.771518,1708610391.506884,1708610391.506884,1708610392.966259
0,1708610393.208507,1708610391.945852,1708610391.953746,1708610393.403961
0,1708610393.515954,1708610392.326003,1708610392.332915,1708610393.665313
0,1708610393.778625,1708610392.510969,1708610392.5195959,1708610393.884532
0,1708610394.183177,1708610392.919481,1708610392.923702,1708610394.264527
0,1708610394.385222,1708610393.119336,1708610393.123024,1708610394.470249
0,1708610394.602072,1708610393.337234,1708610393.343727,1708610394.688612
0,1708610394.821641,1708610393.557291,1708610393.560698,1708610394.905129
0,1708610395.037916,1708610393.774103,1708610393.7774699,1708610395.11652
0,1708610395.243295,1708610393.975353,1708610393.97872,1708610395.318213
0,1708610395.437932,1708610394.171139,1708610394.186645,1708610395.531944
0,1708610395.663509,1708610394.398681,1708610394.402402,1708610395.745918
0,1708610395.864771,1708610394.598414,1708610394.598414,1708610395.947793
0,1708610396.080093,1708610394.815809,1708610394.815809,1708610396.167237
0,1708610396.295209,1708610395.030137,1708610395.037661,1708610396.483309
0,1708610396.731515,1708610395.858277,1708610395.873892,1708610397.222264
0,1708610397.451296,1708610396.302293,1708610396.31519,1708610397.819933
0,1708610397.963419,1708610396.700447,1708610396.700447,1708610398.036469
0,1708610398.143057,1708610396.874963,1708610396.882772,1708610398.219025
0,1708610398.331013,1708610397.064564,1708610397.071109,1708610398.40606
0,1708610398.525737,1708610397.258203,1708610397.266948,1708610398.610323
0,1708610398.747429,1708610397.483443,1708610397.491929,1708610398.8346
0,1708610398.961262,1708610397.697533,1708610397.7017758,1708610399.047812
0,1708610399.164607,1708610397.896836,1708610397.9079762,1708610399.243354
0,1708610399.349869,1708610398.08854,1708610398.096966,1708610399.442661
0,1708610399.574184,1708610398.311668,1708610398.315939,1708610399.663852
0,1708610399.795405,1708610398.522352,1708610398.526863,1708610399.859094
0,1708610399.978404,1708610398.711065,1708610398.715478,1708610400.066221
0,1708610400.19374,1708610398.927202,1708610398.93535,1708610400.282639
0,1708610400.514388,1708610399.250758,1708610399.250758,1708610400.682673
0,1708610400.911487,1708610399.647699,1708610399.652009,1708610401.633069
0,1708610401.852898,1708610400.691457,1708610400.6957471,1708610402.047897
0,1708610402.181491,1708610400.914632,1708610400.9182901,1708610402.265701
0,1708610402.383078,1708610401.114222,1708610401.118586,1708610402.473686
0,1708610402.590272,1708610401.327218,1708610401.344639,1708610402.676457
0,1708610402.796385,1708610401.530866,1708610401.54103,1708610402.884751
0,1708610403.016771,1708610401.751163,1708610401.759978,1708610403.102941
0,1708610403.23898,1708610401.972036,1708610401.9796128,1708610403.324273
0,1708610403.456311,1708610402.194115,1708610402.2009928,1708610403.537088
0,1708610403.65091,1708610402.387258,1708610402.387258,1708610403.737863
0,1708610403.868933,1708610402.602268,1708610402.609873,1708610403.964748
0,1708610404.093717,1708610402.831177,1708610402.837543,1708610404.187161
0,1708610404.325018,1708610403.062614,1708610403.075981,1708610404.415349
0,1708610404.695567,1708610403.616943,1708610403.62534,1708610405.0711
0,1708610405.295937,1708610404.234653,1708610404.238359,1708610405.575293
0,1708610405.794921,1708610404.530377,1708610404.537052,1708610405.939674
0,1708610406.045185,1708610404.778527,1708610404.790904,1708610406.131018
0,1708610406.239124,1708610404.970695,1708610404.974458,1708610406.31657
0,1708610406.435794,1708610405.167604,1708610405.177675,1708610406.509942
0,1708610406.622919,1708610405.357752,1708610405.361273,1708610406.697365
0,1708610406.814855,1708610405.552011,1708610405.552011,1708610406.902677
0,1708610407.031613,1708610405.767318,1708610405.782909,1708610407.121343
0,1708610407.269699,1708610406.013774,1708610406.013774,1708610407.364426
0,1708610407.509611,1708610406.245412,1708610406.248806,1708610407.593285
0,1708610407.716681,1708610406.522536,1708610406.534378,1708610407.993259
0,1708610408.125695,1708610406.860317,1708610406.863685,1708610408.205212
0,1708610408.311164,1708610407.046908,1708610407.053341,1708610408.392752
0,1708610408.531787,1708610407.288232,1708610407.2991052,1708610408.63596
0,1708610408.876172,1708610407.611121,1708610407.617707,1708610409.042161
0,1708610409.273561,1708610408.007821,1708610408.0172,1708610409.467379
0,1708610409.712353,1708610408.448329,1708610408.452245,1708610409.907456
0,1708610410.144804,1708610408.879128,1708610408.886502,1708610410.222445
0,1708610410.336339,1708610409.070494,1708610409.074247,1708610410.413217
0,1708610410.5225,1708610409.25529,1708610409.258565,1708610410.605827
0,1708610410.739368,1708610409.475434,1708610409.48844,1708610410.821926
0,1708610410.947632,1708610409.731911,1708610409.738163,1708610411.074
