,t1,t2,t3,t4
0,1708606507.869417,1708606501.177082,1708606501.18122,1708606507.955061
0,1708606507.980839,1708606501.288885,1708606501.30095,1708606508.075789
0,1708606508.100059,1708606501.408655,1708606501.417275,1708606508.185534
0,1708606508.210057,1708606501.516787,1708606501.5298681,1708606508.294349
0,1708606508.318374,1708606501.625055,1708606501.629183,1708606508.402459
0,1708606508.426789,1708606501.73222,1708606501.7394989,1708606508.525442
0,1708606508.549717,1708606501.860309,1708606501.864647,1708606508.635795
0,1708606508.660597,1708606501.968084,1708606501.983885,1708606508.761014
0,1708606508.784619,1708606502.091939,1708606502.091939,1708606508.867237
0,1708606508.892212,1708606502.198689,1708606502.207254,1708606508.973189
0,1708606508.996888,1708606502.301939,1708606502.316816,1708606509.084704
0,1708606509.109041,1708606502.415596,1708606502.430968,1708606509.207957
0,1708606509.23121,1708606502.53593,1708606502.5423949,1708606509.312398
0,1708606509.336221,1708606502.643936,1708606502.652556,1708606509.413333
0,1708606509.431018,1708606502.736515,1708606502.74504,1708606509.51464
0,1708606509.540493,1708606502.848109,1708606502.860825,1708606509.625837
0,1708606509.65185,1708606502.958222,1708606502.9705088,1708606509.744035
0,1708606509.769592,1708606503.074856,1708606503.074856,1708606509.85141
0,1708606509.876492,1708606503.18444,1708606503.188205,1708606509.958411
0,1708606509.985006,1708606503.292247,1708606503.300435,1708606510.063635
0,1708606510.082858,1708606503.387606,1708606503.395452,1708606510.164695
0,1708606510.188016,1708606503.495671,1708606503.498994,1708606510.260743
0,1708606510.278692,1708606503.587437,1708606503.595022,1708606510.365843
0,1708606510.384394,1708606503.690885,1708606503.694271,1708606510.460267
0,1708606510.481456,1708606503.788328,1708606503.788328,1708606510.560018
0,1708606510.582239,1708606503.888301,1708606503.891878,1708606510.665517
0,1708606510.685259,1708606503.995177,1708606503.998487,1708606510.761213
0,1708606510.779527,1708606504.086255,1708606504.0906842,1708606510.860461
0,1708606510.878896,1708606504.187234,1708606504.200351,1708606510.961033
0,1708606510.982635,1708606504.28928,1708606504.3071609,1708606511.065842
0,1708606511.085005,1708606504.393212,1708606504.396477,1708606511.161021
0,1708606511.177628,1708606504.48282,1708606504.496269,1708606511.26256
0,1708606511.282563,1708606504.587736,1708606504.592012,1708606511.363895
0,1708606511.387709,1708606504.70699,1708606504.711239,1708606511.481179
0,1708606511.518957,1708606504.841456,1708606504.85237,1708606511.608598
0,1708606511.632661,1708606504.945453,1708606504.9498088,1708606511.714716
0,1708606511.736111,1708606505.047276,1708606505.055819,1708606511.817815
0,1708606511.839468,1708606505.14835,1708606505.152094,1708606511.920501
0,1708606511.94481,1708606505.251128,1708606505.251128,1708606512.025415
0,1708606512.056289,1708606505.364931,1708606505.376431,1708606512.13731
0,1708606512.164083,1708606505.47265,1708606505.485752,1708606512.241645
0,1708606512.259299,1708606505.563555,1708606505.567048,1708606512.333208
0,1708606512.355112,1708606505.664182,1708606505.6676118,1708606512.435432
0,1708606512.459865,1708606505.766001,1708606505.774568,1708606512.536951
0,1708606512.558766,1708606505.867194,1708606505.879962,1708606512.644752
0,1708606512.668693,1708606505.974572,1708606505.98368,1708606512.760279
0,1708606512.784676,1708606506.091394,1708606506.097938,1708606512.864179
0,1708606512.88506,1708606506.191957,1708606506.200473,1708606512.959628
0,1708606512.977804,1708606506.284042,1708606506.292471,1708606513.052102
0,1708606513.070445,1708606506.377344,1708606506.383823,1708606513.151658
0,1708606513.177001,1708606506.484978,1708606506.4891279,1708606513.25817
0,1708606513.279459,1708606506.586638,1708606506.591955,1708606513.358914
0,1708606513.388465,1708606506.694873,1708606506.694873,1708606513.471448
0,1708606513.495938,1708606506.802541,1708606506.807928,1708606513.576384
0,1708606513.608622,1708606506.915143,1708606506.921595,1708606513.685192
0,1708606513.702366,1708606507.008679,1708606507.018427,1708606513.786456
0,1708606513.813325,1708606507.121265,1708606507.134281,1708606513.896342
0,1708606513.92085,1708606507.227982,1708606507.231427,1708606513.997802
0,1708606514.021305,1708606507.328026,1708606507.331212,1708606514.098861
0,1708606514.119932,1708606507.425109,1708606507.432535,1708606514.197497
0,1708606514.222379,1708606507.528582,1708606507.5328372,1708606514.303731
0,1708606514.329849,1708606507.636439,1708606507.636439,1708606514.411334
0,1708606514.436687,1708606507.744949,1708606507.748543,1708606514.523979
0,1708606514.549008,1708606507.855317,1708606507.864015,1708606514.628415
0,1708606514.649783,1708606507.955218,1708606507.959517,1708606514.728141
0,1708606514.75093,1708606508.062929,1708606508.074488,1708606514.843521
0,1708606514.866415,1708606508.179074,1708606508.179074,1708606514.946298
0,1708606514.966271,1708606508.469199,1708606508.475844,1708606515.241706
0,1708606515.281196,1708606508.599386,1708606508.614844,1708606515.386346
0,1708606515.418801,1708606508.737354,1708606508.7416291,1708606515.509602
0,1708606515.542148,1708606508.857905,1708606508.870817,1708606515.626352
0,1708606515.647321,1708606508.956032,1708606508.9602861,1708606515.730991
0,1708606515.770691,1708606509.091466,1708606509.101383,1708606515.85771
0,1708606515.878828,1708606509.186592,1708606509.186592,1708606515.955529
0,1708606515.973158,1708606509.279133,1708606509.288923,1708606516.045434
